est_dist(m)	true_dist(m)	squared_error(m^2)
1.616	1.412	0.20400
1.608	1.412	0.19633
1.597	1.412	0.18460
1.622	1.412	0.21031
1.606	1.412	0.19421
1.621	1.412	0.20874
1.629	1.412	0.21705
1.633	1.412	0.22062
1.614	1.412	0.20206
1.611	1.412	0.19870
1.600	1.412	0.18759
1.595	1.412	0.18272
1.585	1.412	0.17303
1.557	1.412	0.14550
1.565	1.412	0.15274
1.582	1.412	0.16990
1.566	1.412	0.15393
1.554	1.412	0.14194
1.549	1.412	0.13677
1.536	1.412	0.12406
1.534	1.510	0.02433
1.556	1.510	0.04635
1.531	1.510	0.02084
1.542	1.510	0.03182
1.542	1.510	0.03165
1.548	1.510	0.03843
1.608	1.510	0.09785
1.567	1.510	0.05719
1.649	1.510	0.13882
1.646	1.510	0.13591
1.621	1.510	0.11068
2.097	1.510	0.58727
1.716	1.480	0.23603
1.710	1.480	0.23020
1.669	1.481	0.18801
1.702	1.481	0.22143
1.697	1.481	0.21639
1.669	1.481	0.18750
1.701	1.481	0.22006
1.587	1.481	0.10602
1.579	1.481	0.09802
1.575	1.481	0.09424
1.572	1.481	0.09067
1.597	1.481	0.11615
1.547	1.481	0.06568
1.558	1.481	0.07710
1.582	1.481	0.10110
1.574	1.481	0.09264
1.571	1.481	0.08987
1.577	1.443	0.13448
1.575	1.443	0.13200
1.555	1.443	0.11175
1.588	1.443	0.14462
1.576	1.443	0.13270
1.568	1.443	0.12488
1.578	1.443	0.13495
1.575	1.443	0.13228
1.595	1.443	0.15168
1.598	1.443	0.15455
1.610	1.443	0.16713
1.623	1.443	0.18000
1.628	1.443	0.18476
1.586	1.443	0.14271
1.561	1.443	0.11788
1.580	1.443	0.13701
1.603	1.443	0.15954
1.592	1.443	0.14919
1.609	1.443	0.16564
1.616	1.443	0.17275
1.636	1.439	0.19740
1.628	1.439	0.18910
1.632	1.439	0.19339
1.633	1.439	0.19384
1.624	1.439	0.18499
1.623	1.439	0.18396
1.620	1.439	0.18053
1.616	1.439	0.17684
1.615	1.439	0.17620
1.613	1.439	0.17450
1.604	1.439	0.16498
1.598	1.439	0.15943
1.583	1.439	0.14384
1.557	1.439	0.11816
1.555	1.439	0.11581
1.563	1.439	0.12371
1.584	1.437	0.14702
1.574	1.437	0.13724
1.677	1.437	0.24002
1.627	1.437	0.19011
1.595	1.437	0.15781
1.604	1.437	0.16693
1.620	1.437	0.18264
1.623	1.437	0.18614
1.576	1.437	0.13942
1.656	1.437	0.21867
1.647	1.437	0.21007
1.555	1.437	0.11784
1.615	1.437	0.17797
1.625	1.461	0.16415
1.636	1.461	0.17527
1.627	1.461	0.16599
1.634	1.461	0.17277
1.607	1.461	0.14579
1.612	1.461	0.15062
1.634	1.461	0.17324
1.646	1.461	0.18486
1.577	1.461	0.11637
1.633	1.461	0.17241
1.571	1.461	0.10974
1.567	1.461	0.10606
1.562	1.461	0.10107
1.570	1.461	0.10907
1.584	1.461	0.12273
1.535	1.461	0.07394
1.537	1.461	0.07611
1.562	1.461	0.10093
1.590	1.461	0.12860
1.609	1.552	0.05726
1.600	1.552	0.04768
1.644	1.552	0.09247
1.545	1.552	0.00652
1.564	1.552	0.01235
1.581	1.552	0.02928
1.576	1.552	0.02374
1.587	1.552	0.03477
1.593	1.552	0.04072
1.573	1.552	0.02059
1.591	1.552	0.03870
1.593	1.564	0.02899
1.621	1.564	0.05656
1.591	1.564	0.02739
1.567	1.564	0.00295
1.578	1.564	0.01380
1.698	1.555	0.14324
1.629	1.555	0.07412
1.575	1.555	0.02032
1.560	1.555	0.00470
1.558	1.555	0.00312
1.589	1.555	0.03402
1.550	1.555	0.00524
1.565	1.555	0.01006
1.547	1.555	0.00787
1.581	1.555	0.02606
1.577	1.476	0.10132
1.545	1.476	0.06926
1.565	1.476	0.08866
1.572	1.476	0.09576
1.499	1.476	0.02276
1.521	1.476	0.04451
1.538	1.476	0.06163
1.593	1.476	0.11695
1.590	1.476	0.11429
1.595	1.476	0.11939
1.609	1.476	0.13310
1.611	1.476	0.13513
1.645	1.476	0.16915
1.641	1.476	0.16550
1.624	1.476	0.14827
1.626	1.434	0.19159
1.643	1.434	0.20928
1.644	1.434	0.20955
1.653	1.434	0.21944
1.674	1.434	0.24012
1.631	1.434	0.19671
1.651	1.434	0.21693
1.636	1.434	0.20174
1.654	1.434	0.22025
1.625	1.434	0.19089
1.644	1.434	0.21040
1.624	1.434	0.18972
1.622	1.434	0.18850
1.624	1.434	0.18975
1.629	1.434	0.19514
1.635	1.434	0.20076
1.632	1.434	0.19848
1.625	1.419	0.20599
1.627	1.419	0.20826
1.624	1.419	0.20538
1.607	1.419	0.18830
1.600	1.419	0.18098
1.632	1.419	0.21322
1.626	1.419	0.20716
1.656	1.419	0.23721
1.631	1.419	0.21205
1.619	1.419	0.19965
1.604	1.419	0.18522
1.607	1.419	0.18769
1.612	1.419	0.19271
1.627	1.419	0.20788
1.625	1.419	0.20615
1.618	1.486	0.13218
1.618	1.486	0.13229
1.602	1.486	0.11627
1.580	1.486	0.09398
1.589	1.486	0.10322
1.630	1.486	0.14423
1.635	1.486	0.14935
1.637	1.486	0.15112
1.621	1.486	0.13539
1.618	1.486	0.13222
1.592	1.486	0.10596
1.550	1.486	0.06399
1.532	1.486	0.04637
1.567	1.486	0.08099
1.563	1.486	0.07690
1.604	1.486	0.11805
1.626	1.486	0.14035
1.592	1.486	0.10574
1.599	1.486	0.11320
1.600	1.486	0.11409
1.630	1.480	0.15034
1.633	1.480	0.15345
1.571	1.480	0.09125
1.611	1.480	0.13133
1.601	1.480	0.12138
1.555	1.480	0.07476
1.557	1.480	0.07703
1.565	1.480	0.08519
1.580	1.480	0.10042
1.564	1.480	0.08443
1.564	1.480	0.08385
1.563	1.480	0.08255
1.546	1.480	0.06582
1.554	1.480	0.07379
1.528	1.480	0.04833
1.538	1.480	0.05816
1.560	1.480	0.07992
1.549	1.480	0.06949
1.561	1.480	0.08146
1.593	1.480	0.11273
1.586	1.595	0.00871
1.543	1.595	0.05218
1.568	1.595	0.02688
1.608	1.595	0.01267
1.665	1.595	0.06990
1.664	1.595	0.06934
1.672	1.595	0.07745
1.658	1.595	0.06301
1.633	1.595	0.03838
1.631	1.595	0.03583
1.585	1.595	0.01022
1.590	1.595	0.00511
1.604	1.595	0.00852
1.628	1.595	0.03325
1.606	1.595	0.01077
1.581	1.595	0.01434
1.612	1.543	0.06881
1.591	1.543	0.04835
1.599	1.543	0.05601
1.589	1.543	0.04585
1.589	1.543	0.04595
1.598	1.543	0.05465
1.592	1.543	0.04926
1.563	1.543	0.01975
1.577	1.543	0.03378
1.605	1.543	0.06218
1.598	1.543	0.05459
1.592	1.543	0.04851
1.584	1.543	0.04109
1.579	1.543	0.03571
1.654	1.543	0.11144
1.588	1.543	0.04523
1.603	1.543	0.05957
1.623	1.543	0.07957
1.567	1.543	0.02371
1.582	1.543	0.03937
1.592	1.445	0.14697
1.540	1.445	0.09453
1.535	1.445	0.08997
1.534	1.445	0.08899
1.574	1.445	0.12879
1.635	1.445	0.19006
1.631	1.445	0.18645
1.633	1.445	0.18758
1.618	1.445	0.17266
1.635	1.445	0.18962
1.642	1.445	0.19670
1.660	1.445	0.21547
1.667	1.445	0.22187
1.672	1.445	0.22750
1.673	1.445	0.22773
1.646	1.445	0.20052
1.649	1.445	0.20430
1.630	1.445	0.18514
1.624	1.445	0.17919
1.628	1.445	0.18276
1.572	1.450	0.12229
1.640	1.450	0.19046
1.632	1.450	0.18249
1.613	1.450	0.16312
1.608	1.450	0.15764
1.611	1.462	0.14876
1.656	1.462	0.19397
1.587	1.462	0.12497
1.572	1.462	0.11008
1.539	1.462	0.07698
1.560	1.462	0.09755
1.555	1.462	0.09290
1.554	1.462	0.09246
1.567	1.462	0.10485
1.590	1.462	0.12759
1.571	1.462	0.10902
1.560	1.462	0.09829
1.530	1.462	0.06819
1.582	1.462	0.11980
1.571	1.462	0.10876
1.552	1.462	0.09041
1.580	1.462	0.11775
1.546	1.462	0.08357
1.520	1.462	0.05778
1.493	1.462	0.03125
1.523	1.232	0.29115
1.539	1.232	0.30665
1.482	1.232	0.25025
1.451	1.232	0.21862
1.473	1.232	0.24099
1.478	1.232	0.24580
1.450	1.232	0.21770
1.462	1.232	0.22991
1.480	1.232	0.24776
1.486	1.232	0.25382
1.456	1.232	0.22386
1.399	1.232	0.16718
1.444	1.232	0.21214
1.491	1.232	0.25930
1.490	1.232	0.25833
1.463	1.232	0.23128
1.464	1.232	0.23185
1.460	1.232	0.22786
1.379	1.232	0.14657
1.367	1.232	0.13527
1.318	1.463	0.14532
1.342	1.463	0.12090
1.381	1.463	0.08234
1.408	1.463	0.05469
1.450	1.463	0.01320
1.529	1.463	0.06557
1.500	1.463	0.03718
1.459	1.463	0.00447
1.459	1.463	0.00448
1.438	1.463	0.02506
1.423	1.463	0.04013
1.359	1.463	0.10411
1.375	1.463	0.08849
1.442	1.463	0.02085
1.510	1.463	0.04750
1.503	1.463	0.03996
1.618	1.463	0.15528
1.634	1.463	0.17139
1.704	1.463	0.24144
1.717	1.463	0.25444
1.753	1.620	0.13279
1.762	1.620	0.14226
1.561	1.620	0.05938
1.591	1.620	0.02868
1.696	1.620	0.07559
1.737	1.710	0.02651
1.767	1.710	0.05741
1.745	1.710	0.03495
1.764	1.710	0.05361
1.746	1.710	0.03615
1.776	1.710	0.06596
1.797	1.710	0.08735
1.812	1.600	0.21184
1.722	1.600	0.12181
1.762	1.600	0.16173
1.695	1.716	0.02106
1.671	1.716	0.04545
1.683	1.716	0.03337
1.671	1.716	0.04514
1.552	1.716	0.16447
1.526	1.716	0.18969
1.509	1.716	0.20660
1.505	1.716	0.21068
1.570	1.716	0.14573
1.548	1.716	0.16780
1.542	1.716	0.17414
1.552	1.716	0.16382
1.520	1.716	0.19554
1.548	1.716	0.16806
1.451	1.496	0.04467
1.408	1.496	0.08785
1.407	1.496	0.08903
1.505	1.496	0.00887
1.506	1.496	0.01047
1.416	1.496	0.07964
1.422	1.496	0.07362
1.399	1.496	0.09713
1.363	1.496	0.13306
1.406	1.496	0.09005
1.427	1.496	0.06943
1.258	1.496	0.23787
1.232	1.496	0.26365
1.249	1.496	0.24739
1.282	1.496	0.21432
1.304	1.496	0.19247
1.311	1.496	0.18490
1.312	1.496	0.18443
1.373	1.496	0.12347
1.364	1.496	0.13182
1.383	1.420	0.03706
1.380	1.420	0.04020
1.362	1.420	0.05760
1.384	1.420	0.03592
1.346	1.420	0.07378
1.333	1.420	0.08663
1.334	1.420	0.08641
1.351	1.420	0.06876
1.363	1.420	0.05733
1.351	1.420	0.06902
1.372	1.420	0.04830
1.384	1.420	0.03626
1.385	1.420	0.03460
1.394	1.420	0.02581
1.394	1.420	0.02620
1.386	1.420	0.03382
1.317	1.420	0.10336
1.413	1.420	0.00663
1.433	1.420	0.01336
1.454	1.420	0.03381
1.436	1.481	0.04488
1.441	1.481	0.04013
1.453	1.481	0.02759
1.500	1.481	0.01850
1.499	1.481	0.01843
1.500	1.481	0.01908
1.470	1.481	0.01109
1.482	1.481	0.00052
1.436	1.481	0.04512
1.460	1.481	0.02072
1.521	1.481	0.03956
1.516	1.481	0.03460
1.482	1.481	0.00109
1.503	1.481	0.02186
1.533	1.481	0.05216
1.567	1.481	0.08575
1.567	1.481	0.08555
1.594	1.481	0.11292
1.600	1.481	0.11946
